sample0,sample1,sample2,sample3,sample4
CCCc1cc2c(cc1OCc1cccs1)C(=CC(=O)Oc1cccc(C(F)(F)F)c1)OC2,Fc1ccc2[nH]c(Oc3ccc(N4CCN(Cc5ccnc(N6CCOCC6)c5)CC4)cc3)nc2c1,Cn1cc(CN2CCC3C(c4ccccc4)Nc4ccc(CO)cc4C32)cn1,CC(=O)c1cccc(Nc2ccc3c(c2)C2(CCOC(=N)N2)c2cc(Nc4ncco4)cc(F)c2O3)c1,CC1(C)C=C2C(=NN(c3ccc4c(c3)OCO4)C(N)=C2C(F)(F)F)CO1
COc1cc(OC)c2c(=O)cc(-c3ccc4cccnc4c3)oc2c1,Cc1ccc(C(=O)c2nc3cnc(C(C)C)nc3n(OC3CC3)c2=O)s1,CC(C)CC(NC(=O)C(C)NS(C)(=O)=O)C(=O)NC(CCCCNCc1ccccc1)C(=O)N1CCCC1C(=O)O,CCCCCNC(=O)c1ccc(C)c(NC(=O)c2ccnc(-c3c(N4CCN(C)CC4)cnn3C)c2)c1,Cc1nnc2n1-c1c(F)cc(-c3nc(N4CCOCC4)c4sccc4n3)cc1CC2
Cc1ccc(NC(=O)c2ccc(OC(F)(F)F)cc2)cc1-c1nc(-c2ccccc2)[nH]c1Nc1ccccc1,Cc1cccc(NC(NS(=O)(=O)C(C)(C)C)C(CO)c2cc(F)ccc2F)c1C,Nc1ncc(-c2cccc(F)c2)nc1-c1nc(NCCCc2ccccc2)cn1CO,CN1CCC(N(C)C(=O)c2ccc3c(NS(=O)(=O)c4cn(C)cn4)c(-c4ccccc4)[nH]c3c2)CC1,CC1(n2cnc3c(Cl)nc(Cl)nc32)OC(CC2=C(c3cn(CC#CC4CC=CCC4)c4ncccc34)C(=O)NC2=O)C(O)C1O
CN1C(CCCCCCCCC(=O)O)=C(O)c2ccccc2S1(=O)=O,COc1ccc(C(=O)N2CCN(c3nc4ccc(Cl)cc4s3)CC2)cc1OC,O=C(OCc1ccccc1)C1C(CO)C2Cn3c(ccc(OS(=O)(=O)O)c3=O)C1N2C(=O)c1cccnc1,CC(C)C12CC3=COC=CC(CCC4(N)CC(C)(O)C4)C3N1C(=O)C1(C(C)C)C(O)C3=CC=CC(O)C3N1C2=O,O=C1CCCCN1c1ccc(N=Cc2ccc(OCC34CC5CC(CC(C5)C3)C4)cc2)cc1
C[S+](Cc1c(O)c2cccnc2n(-c2cccc(F)c2)c1=O)c1ccccc1,O=S(=O)(Nc1ccc(O)cc1)c1ccccc1,O=C(NCCN1CCN(c2cccnc2)CC1)c1scnc1Cl,CC(C)(C)CC(N)C(=O)n1ncc(NC(=O)NCCCCO)c(Cl)c1=O,CNc1nc2ccc(C)cc2n2ccnc12
COc1ccc(-n2c(C)nc(CNC3=CC(=O)c4ncccc4C3=O)c2C)cc1,Cn1c2ccccc2n2c(=O)c(=O)n(CCN3CC4CC(C3)c3cccc(=O)n3C4)nc12,CC(C)c1ccccc1CCC1(c2ccc(C3CCCCCN3C(=N)N)cc2)CCNC1,CC(C)c1ncc(Cc2ccn3c(=O)c(-c4nn[nH]n4)c(NC4CC(CO)C(O)C4O)nc3c2)s1,CC(C)(C)OC(=O)N1CCC(CC(=O)NCCN2CCN(C(=O)Cc3ccccc3)CC2)CC1
O=C(Nc1cncc(Cl)n1)N1CCOCC1,O=c1ccn(Cc2cn3cccnc3n2)c(=O)[nH]1,CC(C)S(=O)(=O)N(C)N=Cc1ccc2c(c1)NC(=O)[CH-]O2,CCCCCCCCC=CCCCCCCCC(=O)OC1CC2CC1CC2CCOCC,Cc1ccc(Cl)c(NC(=O)Cc2ccc(C(=O)NCCCSc3ccccc3)o2)c1Cl
CCC(CC)(NC(=O)c1ccccc1)c1nc(-c2ccccc2)c2cnccn12,CC1CCCCN1C(=O)CN(c1cc(Cl)ccc1CN1CCCC1)S(=O)(=O)c1ccc(-c2cccs2)cc1,COC(=O)C1=C(C)NC(=O)NC1c1ccc(OC2CCC(OC)CC2)c(F)c1,CCN(CC)c1cc2ncc(=O)[nH]c2cc1-n1ccc(NC(=O)Nc2cccnc2)cc1=O,CC1COCC(C)N1c1cc(C(C)(C)C(O)c2ccc3c(c2)OCO3)nc(-c2c[nH]c3cc(Br)ccc23)n1
N#CC1CC2(C1)OCCS2,COC(=O)C1OC(O)C(CC(O)n2cnc3c(=O)[nH][nH]c(=O)c32)C(O)C1c1ccc2ccccc2c1O,CCCOC(=O)CCc1ccc(O)cc1,N#CC(C#N)c1ccc(C(=O)C(F)(F)F)cc1,COC(=O)CNc1cc(-c2nc3c([nH]2)CCNC3)ccc1OC
CC(OCCN(C)C)C(=O)NC1CCC2(CCN(C(=O)c3cc(O)ccc3O)CC2)O1,COc1cc(Oc2ccc(C3CC(C#N)=NN3)cc2-c2ccc(Cl)nc2)ccc1-c1cn[nH]c1,Nc1nc(OCc2ccccc2)c2nnn(C(=O)Nc3nccs3)c2n1,C=CCN(Cc1cc2cc(C(=O)Nc3cc(OC)cc(OC)c3OC)ccc2s1)C(=O)NCc1ccc2c(c1)CCN2CC=C,Cc1ccn2ncc(C(O)=Nc3cn(C4CCN(C5CC6CCCC(C6)C5)CC4)c4ccccc34)c2n1
COC(=O)c1[nH]c2ccc(Cl)cc2c1Cc1ccc(C(C)(C)C)cc1,CC(=O)NCCNc1ncnc2c1nc([N+](=O)[O-])n2-c1nc2ccccc2nc1C,O=C(Cn1cnnc1)N1CCN(c2cccnc2)CC1,CC(C)(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CCCN1,CCCNc1nc(Cc2cc3cnc(NC(=O)Nc4ccc(F)cc4)nc3n(C3CCCCC3)c2=O)cs1
